school_name,school_id,all_subjects,latitude,longitude
Kadayakan ES,104502,162.64,15.83083333,121.4711111
Leon Diaz Sr. ES,104503,161.7,15.8025,121.4633333
Punglo ES,104505,158.78,15.731445,121.3758
Quirino ES,104506,165.42,15.77083333,121.4775
San Jose ES,104507,126.84,15.787657,121.477793
San Juan ES,104508,154.21,15.78472222,121.3127778
San Leonardo ES,104509,129.42,15.77222222,121.4638889
Suguit ES,104510,138.44,15.7032,121.4148
Villa Aurora ES,104511,138.14,15.68581,121.332417
Wenceslao ES,104512,124.17,15.76388889,121.4241667
Bacong ES,104513,153.1,15.7387,121.5212
Dibayabay ES,104514,110.42,15.6282,121.5761
Dibut ES,104515,118.85,15.6675,121.5980556
Dikapinisan ES,104516,143.47,15.5772,121.5352
Dimanayat ES,104517,127.04,15.49,121.4769444
Diotorin ES,104518,135.69,15.6063,121.5578
Diteki ES,104519,161.81,15.67222222,121.4283333
Ditumabo ES,104520,139.62,15.69805556,121.4672222
Kalapnit ES,104521,87.5,15.6782,121.5437
Kamalatan ES,104522,108.57,15.6691,121.4842
L. Pimentel ES,104523,154.93,15.68472222,121.5005556
Nonong Sr. ES,104524,156.72,15.71388889,121.5011111
R. Tangson ES,104525,119.0,15.5277,121.4919
Real ES,104526,135.33,15.70805556,121.5225
San Isidro ES,104527,154.06,15.73861111,121.5027778
Zarah ES,104529,163.1,15.7325,121.5236111
Esperanza ES,157501,159.83,16.1998,122.0561
Tanawan ES,157503,146.48,15.401162,121.380074
Sto. Tomas ES,157505,143.1,15.781929,121.439522
Ramada ES,157506,136.79,15.783003,121.482269
"C,J. Torre ES",157507,154.22,16.308029,122.095444
Paraiso ES,157508,98.8,16.283316,122.160072
Hacienda ES,157511,133.76,15.705576,121.479477
Bagong Silang ES,104551,158.65,14.674044,120.508641
Balanga ES,104552,145.71,14.6815995,120.5452752
Bo Central ES,104554,182.53,14.663683,120.537593
Cabog-Cabog ES,104555,179.52,14.62360055,120.4677151
Cataning ES,104556,158.65,14.67517742,120.5383615
Cupang ES,104557,164.31,14.66833774,120.5432833
E Bernabe ES,104559,152.56,14.677925,120.447411
GL David Mem ES,104560,160.13,14.689238,120.510727
M delos Reyes MES,104561,149.29,14.6896792,120.5560738
MP Cuaderno Sr MES,104563,168.65,14.68683096,120.5474964
Our Lady of Lourdes ES,104564,157.98,14.683364,120.512802
Camacho Sr ES,104565,153.14,14.68204664,120.5273623
Tanato ES,104566,165.78,14.647161,120.461716
Tenejero ES,104567,159.85,14.67805707,120.5332661
Tortugas ES,104568,176.22,14.69282397,120.5602255
Tuyo ES,104569,170.58,14.6955996,120.5385107
Abucay North ES,104530,166.1,14.722129,120.5348629
Bangkal ES,104531,188.6,14.738261,120.446251
Capitangan ES,104532,163.0,14.70619246,120.5373512
Hacienda ES,104533,162.4,14.71844,120.502083
Kabukiran ES,104534,180.07,14.72619916,120.5239022
Mabatang ES,104535,181.13,14.74266836,120.5366081
Salian ES,104538,188.83,14.71250823,120.5290516
T Pinpin Mem ES,104539,180.22,14.71854462,120.5355858
Wawa ES,104540,170.6,14.721325,120.542496
Bagac ES,104541,188.81,14.59431407,120.3921256
Banawang ES,104542,194.71,14.62011639,120.3867506
Binuangan ES,104543,187.46,14.493398,120.387756
Binukawan ES,104544,191.23,14.63191502,120.4281198
Overland ES,104545,189.78,14.606095,120.405828
Parang ES,104546,189.93,14.63221209,120.4495372
Paysawan ES,104547,168.92,14.527964,120.383614
Pinagsumilan ES,104548,193.84,14.628194,120.440086
Quinawan ES,104549,187.47,14.464436,120.397369
Saysain ES,104550,183.91,14.600027,120.399963
Bangal ES,104570,175.69,14.878096,120.455017
Colo ES,104572,167.15,14.84785464,120.412427
Daang Bago ES,104573,169.12,14.85667629,120.4795587
Dalao ES,104574,174.0,14.897566,120.448723
Dinalupihan ES,104575,175.84,14.86841682,120.4692942
Happy Valley ES,104576,175.57,14.84814,120.39904
J C Payumo Jr ES,104577,166.44,14.864662,120.434448
Kataasan ES,104578,181.09,14.87064573,120.4622941
Layac ES,104579,178.35,14.85450346,120.4739906
Luakan ES,104580,165.01,14.864994,120.448631
Magsaysay ES,104581,175.78,14.84659862,120.4201981
Maligaya ES,104582,174.38,14.86245004,120.4264823
New San Jose ES,104583,161.87,14.88078908,120.4623601
Old San Jose ES,104584,170.19,14.88976714,120.4625475
Pagalanggang ES,104585,175.57,14.89327566,120.4673554
Pag-asa ES,104586,161.12,14.850175,120.419609
Pinulot ES,104589,178.4,14.84999754,120.3895014
Pita ES,104590,174.64,14.893892,120.439598
Roosevelt ES,104591,161.08,14.846721,120.360665
Saguing ES,104592,165.89,14.86190462,120.4405222
San Benito ES,104593,169.42,14.8479156,120.4248395
San Pablo ES,104594,158.18,14.848345,120.382034
San Ramon ES,104595,149.75,14.86961633,120.4627397
San Simon ES,104597,169.04,14.91345911,120.4785158
Sapang Balas ES,104598,176.69,14.885629,120.446701
Sta Isabel ES,104600,178.18,14.860003,120.471848
Sto Niño ES,104601,173.44,14.87648998,120.4589984
Tubo-Tubo ES,104602,156.56,14.850719,120.418076
Tucop ES,104603,174.28,14.897213,120.472527
Almacen ES,104604,182.79,14.83545596,120.5160217
Bacong ES,104605,170.31,14.85252602,120.4375131
Balsik ES,104606,175.71,14.86359619,120.4900462
Bamban ES,104607,175.92,14.84321495,120.4248392
Casupanan ES,104608,164.37,14.84366106,120.473056
Culis ES,104609,93.38,14.8387,120.478
Hermosa ES,104610,184.53,14.8303558,120.5094461
Mabiga ES,104611,146.06,14.826169,120.394669
Maite ES,104612,152.5,14.842114,120.423225
Mambog ES,104613,173.68,14.833314,120.493965
Pandatung ES,104615,172.74,14.826054,120.469854
Parapal ES,104616,168.69,14.831471,120.403648
Pastolan ES,104617,167.22,14.837691,120.343475
Saba ES,104619,180.72,14.85451,120.516708
Sumalo ES,104620,170.97,14.81473903,120.4638845
Tipo ES,104621,126.62,14.844093,120.350579
Alangan ES,104622,141.85,14.53587683,120.5905427
Arsenal ES,104623,164.06,14.508321,120.587959
Bacong ES,104624,116.13,14.568777,120.59549
Bliss ES,104625,172.35,14.57021427,120.5825729
Carbon ES,104626,174.18,14.50804705,120.5878058
Duale ES,104627,173.12,14.54818727,120.5772584
Gabaldon ES,104628,164.94,14.56374243,120.5954994
Kinaragan ES,104629,154.85,14.546045,120.560295
Kitang ES,104630,171.27,14.55651351,120.5978274
Lamao ES,104631,141.35,14.51462827,120.6087239
Limay ES,104632,171.11,14.56116921,120.5948766
Luz ES,104633,157.3,14.5516475,120.5971685
Peas ES,104634,144.31,14.546275,120.584074
A G Llamas ES,104635,164.4,14.436111,120.483889
Alasasin ES,104636,157.98,14.46102088,120.5330902
Balon ES,104637,167.81,14.43643973,120.4733574
Baseco ES,104638,169.38,14.43369905,120.5226378
Batangas 2 ES,104639,169.9,14.49737768,120.5981566
Bayview ES,104640,158.4,14.488669,120.607491
BEPZ ES,104641,158.04,14.45365348,120.4938661
Cabcaben ES,104642,125.43,14.45467948,120.5889176
Ipag ES,104643,172.96,14.42998582,120.4828438
Lucanin ES,104644,169.85,14.474823,120.603269
New Alion ES,104645,174.28,14.48870722,120.5825687
Old Alion ES,104646,173.66,14.49133045,120.5771049
Sisiman ES,104647,151.55,14.42700733,120.5177303
Sto Niño Biaan ES,104648,168.01,14.443818,120.451935
Townsite ES,104649,137.6,14.45797805,120.5945712
Binaritan ES,104650,165.98,14.68246308,120.2680419
Kanawan ES,104651,149.12,14.717716,120.318993
Mabayo ES,104652,163.93,14.73248193,120.2798392
Minanga ES,104653,181.0,14.740697,120.281532
Morong ES,104654,181.87,14.67768232,120.2680287
Nagbalayong ES,104655,170.52,14.656996,120.295235
F Angeles Mem ES,104656,170.79,14.691135,120.250488
Sampaloc ES,104657,187.32,14.653846,120.343704
Alikabok ES,104658,76.7,14.790163,120.519806
Doña ES,104659,172.09,14.8029038,120.4891212
Kabalutan ES,104660,144.62,14.813263,120.532829
Kaparangan ES,104661,89.24,14.79435268,120.5386899
Legua ES,104662,120.65,14.796646,120.431984
Orani North ES,104663,106.17,14.80275351,120.5338221
Orani South ES,104664,94.81,14.79686248,120.5387731
Pag-asa ES,104665,147.08,14.77160438,120.4561278
Pantalan Bago ES,104666,97.59,14.80289004,120.5416914
Pantalan Luma ES,104667,118.59,14.80124793,120.5427577
Paraiso ES,104668,119.8,14.799864,120.530244
Pulo ES,104669,140.1,14.81895871,120.5422505
Sibul ES,104670,114.8,14.79159555,120.4565427
Tala ES,104671,149.93,14.75507995,120.4304152
Talimundoc ES,104672,151.36,14.81763,120.517769
Tapulao ES,104673,108.34,14.81327583,120.5197626
Bantan ES,104674,131.71,14.621228,120.5839237
Bilolo ES,104675,132.69,14.616036,120.565712
Calungusan ES,104676,152.41,14.642064,120.574619
Camachile ES,104677,148.79,14.64176271,120.5790307
Capunitan ES,104678,147.22,14.6163072,120.5818938
Daan Pare ES,104679,168.75,14.60021664,120.5793348
Gen Lim ES,104681,153.38,14.630004,120.529854
Orion ES,104682,152.15,14.618316,120.5780357
Pablo Roman ES,104683,151.22,14.62398529,120.5839629
Puting Buhangin ES,104684,160.46,14.6167,120.583
Sabatan ES,104685,169.63,14.6140925,120.5685759
Sta Elena ES,104686,156.57,14.592126,120.585495
Sto Domingo ES,104687,142.97,14.633757,120.572853
Alauli ES,104688,182.54,14.6456,120.539
Bagumbayan ES,104689,187.74,14.66743842,120.5640415
Balut ES,104690,178.41,14.6866093,120.5587967
Diwa ES,104691,187.63,14.632997,120.511269
J S Herrera Mem ES,104692,180.42,14.67159722,120.5627667
Liyang ES,104693,186.6,14.63310753,120.4900536
Nagwaling ES,104694,183.38,14.634185,120.529388
Panilao ES,104695,174.05,14.6700765,120.5519132
Pantingan ES,104696,190.36,14.659798,120.564903
Pilar ES,104697,182.57,14.66716252,120.5583362
Sta Rosa ES,104698,96.07,14.677344,120.547379
Wakas ES,104699,186.14,14.66,120.565002
Adamson ES,104700,154.61,14.760374,120.506546
Calaguiman ES,104701,163.17,14.75090137,120.5407638
F C del Rosario ES,104702,163.48,14.77639933,120.4814017
Gugo ES,104703,105.91,14.76008942,120.4930553
Lalawigan ES,104705,166.29,14.77905634,120.5425992
Palili ES,104706,164.84,14.753264,120.450485
Samal North ES,104707,164.68,14.76957545,120.5394801
Samal South ES,104708,156.67,14.76256593,120.5398704
Sapa ES,104709,149.4,14.75388882,120.5409259
Naparing ES,158001,174.64,14.845879,120.406792
Renato L Cayetano MES,158006,156.3,14.45203343,120.5017074
Panibatuhan ES,158007,189.33,14.670992,120.269279
Marina Bay ES,158008,185.89,14.428592,120.562477
Banaban ES,104711,159.66,14.93945074,121.0460704
Baras Bakal ES,104712,183.38,14.957988,121.071983
Camachile ES,104714,143.8,14.97734911,121.0658137
Col. Vicente L. Salvador ES,104715,176.16,14.918695,121.038239
Tedoso R. Manuel ES,104717,157.04,14.94288149,120.981129
FF Illescas ES,104719,184.64,14.95064651,121.0243848
Paltok ES,104721,181.77,14.920382,120.963341
Pulong Sampaloc ES,104722,152.25,14.962435,121.062859
Sapang Bulac ES,104724,176.41,15.019059,121.097336
Sulucan ES,104726,180.22,14.94252902,121.0028584
Burol 1st ES,104729,191.43,14.824068,120.904716
Burol II ES,104730,191.46,14.834676,120.904694
Dalig ES,104731,179.46,14.843868,120.921428
Longos ES,104733,193.59,14.819776,120.910947
MC Rivera ES,104734,191.58,14.851025,120.905037
Santol ES,104735,163.49,14.85138973,120.9144666
Sulok ES,104736,194.46,14.809875,120.894722
Hinukay ES,104742,162.49,15.01250708,120.8815146
